Formula label,helper lipid,NP ratio,Dlin-MC3:Helper lipid,Dlin-MC3+Helper lipid percentage,Chol:DMG-PEG,RLU in HepG2,RLU in N2a,RLU in ARPE19
308,DOPE,8,200,60,10,0.916,3.367,1.792
309,DOPE,12,200,60,10,1.386,3.97,1.386
310,DOPE,4,200,80,10,1.872,3.178,1.946
311,DOPE,8,200,80,10,1.099,3.497,1.609
312,DOPE,12,200,80,10,3.597,4.304,2.197
313,DOPE,4,100,20,10,0.916,2.398,1.792
314,DOPE,8,100,20,10,0,1.792,1.099
315,DOPE,12,100,20,10,0.693,1.099,2.079
316,DOPE,4,100,40,10,1.386,1.386,1.386
317,DOPE,8,100,40,10,0.693,2.944,1.792
318,DOPE,12,100,40,10,0,2.773,2.485
319,DOPE,4,100,60,10,0.405,2.565,1.386
320,DOPE,8,100,60,10,1.099,3.526,1.386
321,DOPE,12,100,60,10,1.504,4.22,1.792
322,DOPE,4,100,80,10,1.253,3.332,2.398
323,DOPE,8,100,80,10,1.386,2.773,1.386
324,DOPE,12,100,80,10,2.079,3.761,1.609
325,DOPE,4,50,20,10,1.253,1.792,1.946
326,DOPE,8,50,20,10,0.916,1.792,2.079
327,DOPE,12,50,20,10,0.916,1.609,1.946
328,DOPE,4,50,40,10,0.405,1.946,0.693
329,DOPE,8,50,40,10,0.916,2.708,2.398
330,DOPE,12,50,40,10,1.099,2.639,1.609
331,DOPE,4,50,60,10,0.693,2.079,1.609
332,DOPE,8,50,60,10,1.253,3.401,1.099
333,DOPE,12,50,60,10,0.405,3.584,2.079
334,DOPE,4,50,80,10,1.253,3.135,2.89
335,DOPE,8,50,80,10,1.386,2.89,1.386
336,DOPE,12,50,80,10,2.803,3.045,1.609
337,DOPE,4,10,20,10,0.693,2.708,1.386
338,DOPE,8,10,20,10,0.693,1.946,1.386
339,DOPE,12,10,20,10,0.405,2.485,1.609
340,DOPE,4,10,40,10,1.099,2.773,1.386
341,DOPE,8,10,40,10,0.916,3.871,1.609
342,DOPE,12,10,40,10,0.916,3.332,1.609
343,DOPE,4,10,60,10,0.693,3.091,1.099
344,DOPE,8,10,60,10,0.916,4.127,1.792
345,DOPE,12,10,60,10,1.253,4.875,2.079
346,DOPE,4,10,80,10,1.386,6.562,4.605
347,DOPE,8,10,80,10,2.639,4.828,2.708
348,DOPE,12,10,80,10,5.004,4.511,3.219
349,DOPE,4,1,20,10,0.693,3.584,1.946
350,DOPE,8,1,20,10,1.253,2.398,1.792
351,DOPE,12,1,20,10,0.693,1.792,1.099
352,DOPE,4,1,40,10,2.14,5.278,1.946
353,DOPE,8,1,40,10,2.398,4.466,1.946
354,DOPE,12,1,40,10,4.151,3.912,1.946
355,DOPE,4,1,60,10,3.651,4.511,1.099
356,DOPE,8,1,60,10,3.871,6.548,2.079
357,DOPE,12,1,60,10,4.197,6.623,2.485
358,DOPE,4,1,80,10,5.582,6.771,5.106
359,DOPE,8,1,80,10,5.649,8.226,2.833
360,DOPE,12,1,80,10,5.911,7.324,5.231
361,DOTAP,4,200,20,500,3.512,5.442,4.875
362,DOTAP,8,200,20,500,2.674,5.283,5.652
363,DOTAP,12,200,20,500,3.714,5.704,4.727
364,DOTAP,4,200,40,500,3.512,6.038,4.927
365,DOTAP,8,200,40,500,2.015,5.617,5.043
366,DOTAP,12,200,40,500,2.14,5.58,3.611
367,DOTAP,4,200,60,500,1.504,4.663,4.585
368,DOTAP,8,200,60,500,1.504,4.407,5.602
369,DOTAP,12,200,60,500,1.386,5.17,2.708
370,DOTAP,4,200,80,500,1.792,3.401,2.485
371,DOTAP,8,200,80,500,0.916,3.584,2.89
372,DOTAP,12,200,80,500,1.872,4.736,2.773
373,DOTAP,4,100,20,500,1.609,5.583,6.24
374,DOTAP,8,100,20,500,3.114,5.288,6.223
375,DOTAP,12,100,20,500,2.442,5.442,2.773
376,DOTAP,4,100,40,500,2.14,5.557,4.304
377,DOTAP,8,100,40,500,1.609,5.464,5.438
378,DOTAP,12,100,40,500,1.946,6.014,3.807
379,DOTAP,4,100,60,500,1.099,4.5,2.773
380,DOTAP,8,100,60,500,1.099,5.273,5.298
381,DOTAP,12,100,60,500,0.693,5.67,4.5
382,DOTAP,4,100,80,500,0.693,3.892,2.565
383,DOTAP,8,100,80,500,1.609,3.555,3.829
384,DOTAP,12,100,80,500,1.504,4.984,3.871
385,DOTAP,4,50,20,500,3.068,5.521,5.743
386,DOTAP,8,50,20,500,1.386,5.537,5.338
387,DOTAP,12,50,20,500,1.792,5.886,4.143
388,DOTAP,4,50,40,500,1.609,5.328,5.293
389,DOTAP,8,50,40,500,2.442,5.714,5.606
390,DOTAP,12,50,40,500,2.442,5.513,4.19
391,DOTAP,4,50,60,500,0.916,4.419,4.159
392,DOTAP,8,50,60,500,1.253,5.242,3.892
393,DOTAP,12,50,60,500,1.946,5.1,3.784
394,DOTAP,4,50,80,500,0.916,3.871,3.219
395,DOTAP,8,50,80,500,0.693,3.135,3.611
396,DOTAP,12,50,80,500,1.946,7.315,4.043
397,DOTAP,4,10,20,500,2.079,5.598,5.13
398,DOTAP,8,10,20,500,1.872,5.591,4.564
399,DOTAP,12,10,20,500,3.332,5.268,2.197
400,DOTAP,4,10,40,500,2.079,5.561,4.868
401,DOTAP,8,10,40,500,1.792,5.553,4.691
402,DOTAP,12,10,40,500,2.197,5.852,3.178
403,DOTAP,4,10,60,500,2.015,6.014,5.136
404,DOTAP,8,10,60,500,3.219,5.986,4.736
405,DOTAP,12,10,60,500,3.114,7.55,4.754
406,DOTAP,4,10,80,500,1.253,6.726,5.011
407,DOTAP,8,10,80,500,1.504,6.632,4.745
408,DOTAP,12,10,80,500,2.398,7.511,3.892
409,DOTAP,4,1,20,500,6.13,8.143,5.911
410,DOTAP,8,1,20,500,6.897,7.81,4.635
411,DOTAP,12,1,20,500,4.673,7.274,3.584
412,DOTAP,4,1,40,500,6.752,10.391,5.9
413,DOTAP,8,1,40,500,7.247,8.141,6.671
414,DOTAP,12,1,40,500,4.016,4.796,4.159
415,DOTAP,4,1,60,500,5.25,10.373,5.82
416,DOTAP,8,1,60,500,7.638,9.74,6.094
417,DOTAP,12,1,60,500,6.446,7.168,5.656
418,DOTAP,4,1,80,500,4.82,8.678,5.124
419,DOTAP,8,1,80,500,5.239,9.084,6.18
420,DOTAP,12,1,80,500,6.284,8.605,5.529
421,DOTAP,4,200,20,100,2.14,4.19,6.282
422,DOTAP,8,200,20,100,0.405,4.331,4.745
423,DOTAP,12,200,20,100,0.693,2.639,2.197
424,DOTAP,4,200,40,100,1.099,2.89,1.386
425,DOTAP,8,200,40,100,1.099,5.011,7.043
